Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2026-04-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,South Dakota,503054,699,Volume in cubic metres
2026-05-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Oklahoma,1.16E+09,1508246,Volume in cubic metres
2026-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,Germany,N/A,1.05E+08,116856,Volume in cubic metres
2026-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Alabama,26871931,38136,Volume in cubic metres
2026-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Pennsylvania,1.68E+08,227902,Volume in cubic metres
2026-03-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,North Dakota,21595805,49342,Volume in cubic metres
2026-03-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Pennsylvania,93451138,220639,Volume in cubic metres
2026-04-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Alabama,2.10E+08,216287,Volume in cubic metres
2026-04-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United Kingdom,N/A,3.62E+08,325794,Volume in cubic metres
2026-04-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Pennsylvania,1.19E+08,195777,Volume in cubic metres
2026-05-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,California,70589366,87318,Volume in cubic metres
2021-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,North Dakota,9916931,22147,Volume in cubic metres
2021-07-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Wyoming,44230290,96248,Volume in cubic metres
2021-07-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,California,1.13E+08,205275,Volume in cubic metres
